gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3109186295	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123434693/original.jpg	https://www.inaturalist.org/photos/123434693					2021-04-27T15:45:38Z	Darren and Claudia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darren and Claudia
3109186295	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123434722/original.jpg	https://www.inaturalist.org/photos/123434722					2021-04-27T15:45:38Z	Darren and Claudia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darren and Claudia
3109061131	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123232737/original.jpg	https://www.inaturalist.org/photos/123232737					2021-04-24T15:32:33Z	Carol McDougall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carol McDougall
3109043370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/76024713/original.jpeg	https://www.inaturalist.org/photos/76024713					2020-05-25T21:21:27Z	J Straka		iNaturalist	http://creativecommons.org/licenses/by/4.0/	J Straka
3109024132	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123253167/original.jpg	https://www.inaturalist.org/photos/123253167					2021-04-26T19:38:20Z	Corvi Zeman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Corvi Zeman
3109024132	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123253142/original.jpg	https://www.inaturalist.org/photos/123253142					2021-04-26T19:38:20Z	Corvi Zeman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Corvi Zeman
3109013438	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/109682470/original.jpeg	https://www.inaturalist.org/photos/109682470					2018-09-09T17:58:50Z	Bryn		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bryn
3109013438	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/109682492/original.jpeg	https://www.inaturalist.org/photos/109682492					2018-09-09T17:58:50Z	Bryn		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bryn
3097379388	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122103826/original.jpeg	https://www.inaturalist.org/photos/122103826					2021-04-17T20:26:39Z	Ian Cruickshank		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ian Cruickshank
3097290692	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121164109/original.jpeg	https://www.inaturalist.org/photos/121164109					2021-04-15T21:16:00Z	Finn McGhee		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Finn McGhee
3097290692	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121164093/original.jpeg	https://www.inaturalist.org/photos/121164093					2021-04-15T21:16:09Z	Finn McGhee		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Finn McGhee
3097227315	Sound	audio/mp4	https://static.inaturalist.org/sounds/191436.m4a?1618895625	https://www.inaturalist.org/sounds/191436					2021-04-20T05:13:45Z	Wade Tokarek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wade Tokarek
3097227315	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121951198/original.jpg	https://www.inaturalist.org/photos/121951198					2021-04-19T17:38:54Z	Wade Tokarek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wade Tokarek
3097119672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122486368/original.jpg	https://www.inaturalist.org/photos/122486368					2019-04-15T22:59:47Z	islandica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	islandica
3097119672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122486375/original.jpg	https://www.inaturalist.org/photos/122486375					2019-04-15T22:59:47Z	islandica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	islandica
3097119672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122486360/original.jpg	https://www.inaturalist.org/photos/122486360					2019-04-15T22:59:47Z	islandica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	islandica
3097094938	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121476571/original.jpg	https://www.inaturalist.org/photos/121476571					2021-04-17T21:31:38Z	garrett293		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	garrett293
3096992282	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121926449/original.jpeg	https://www.inaturalist.org/photos/121926449					2021-04-14T21:11:03Z	jbanasch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jbanasch
3096992282	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/121926469/original.jpeg	https://www.inaturalist.org/photos/121926469					2021-04-14T21:11:04Z	jbanasch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jbanasch
3090974917	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120845104/original.jpg	https://www.inaturalist.org/photos/120845104					2021-04-14T16:30:47Z	Carol McDougall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carol McDougall
3090943328	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120543605/original.jpg	https://www.inaturalist.org/photos/120543605					2021-04-10T22:59:48Z	Corvi Zeman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Corvi Zeman
3090943328	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120543585/original.jpg	https://www.inaturalist.org/photos/120543585					2021-04-10T22:59:48Z	Corvi Zeman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Corvi Zeman
3090920485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120364566/original.jpeg	https://www.inaturalist.org/photos/120364566					2021-04-11T20:48:25Z	emrenpen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	emrenpen
3090869490	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120339018/original.jpg	https://www.inaturalist.org/photos/120339018					2021-04-11T17:44:22Z	natueharak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	natueharak
3090755647	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120575159/original.jpeg	https://www.inaturalist.org/photos/120575159					2021-04-08T22:41:17Z	Helen Anderson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Helen Anderson
3090755647	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120575162/original.jpeg	https://www.inaturalist.org/photos/120575162					2021-04-08T22:42:06Z	Helen Anderson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Helen Anderson
3090742493	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120371789/original.jpg	https://www.inaturalist.org/photos/120371789					2021-04-11T19:19:48Z	Kalvin Chan		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Kalvin Chan
3090727600	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120493650/original.jpeg	https://www.inaturalist.org/photos/120493650					2021-04-11T22:08:53Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3090727600	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120493706/original.jpeg	https://www.inaturalist.org/photos/120493706					2021-04-11T22:08:58Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3090727600	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/120493613/original.jpeg	https://www.inaturalist.org/photos/120493613					2021-04-11T22:08:49Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3079895371	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/118589179/original.jpg	https://www.inaturalist.org/photos/118589179					2021-04-01T20:53:17Z	Tyson Ehlers		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tyson Ehlers
3079887338	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/118639017/original.jpg	https://www.inaturalist.org/photos/118639017					2021-04-02T23:27:52Z	stephanieslamka		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stephanieslamka
